50331669,Import Server Connect List.,Server connect list
67108865,Create function.,Add function
67108866,Configure server type for function calling.,Configure server for function calling
67108867,Create function group.,Add function group
67108868,Mapping function to function group.,Connect function group - execute function
67108869,Create user.,Add user
67108870,Create user group.,Add user group
67108871,Mapping user to user group.,Connect user - user group
67108872,Remove function which belongs to function group.,Disconnect function group - execute function
67108873,Remove user who belongs to user group.,Disconnect user - user group
67108874,Modify function.,Modify function information
67108875,Modify function group.,Modify function group information
67108876,Modify user.,Modify user information
67108877,Modify user group.,Modify user group information
67108878,Modify my information.,Modify my information
67108879,Import all functions.,Inquire all functions
67108880,Inquire function list by session.,Executable/castable function list
67108881,Perform function.,Perform function
67108882,Check authority for function performing.,Check function performing authority
67108883,Report after performing function.,Function perform report
67108884,Inquire record of performing function by session.,Inquire record for performing function
67108885,Inquire user list.,View user list
67108886,Inquire user group list.,View user group list
67108887,Create action log.,Create action log
67108888,Inquire action log list.,Action log list
67108889,Inquire user group which has authority to perform function.,Inquire group for execute function 
67108890,Check authority for cast performing.,Check cast performing authority
67108891,Inquire currently recorded server status list.,Server status list
67108892,Record server status.,Record server status
67108893,Inquire function list by server. For menu.,Inquire function list for menu
67108894,Inquire individual user information.,Inquire user information
67108895,Inquire relation between user and user group.,List belongs to user group
67108896,Inquire relation between function group and function.,List belongs to function group
67108897,Inquire function group list.,View function group list
67108898,Inquire individual function.,Function information
67108899,Gain menu list of available function for users by menu type.,Inquire function list for menu
67108900,Import calling server configuration.,View calling server configuration
67108901,Inquire action log that is higher than certain danger level.,Inspect log list
67108902,Gain menu of available function for users by menu type and list with added data by menu type-function.,Inquire function list for menu
67108903,Import executable function list.,Executable function list
67108904,Import castable function list.,Castable function list
67108905,Import all action log list.,All
67108906,Import action log list by server category.,By server category
67108907,Import action log list by period.,By period
67108908,Import action log list by user.,By user
67108909,Import action log list by user group.,By user group
67108910,Import server category list.,Server category list
67108911,Import display group list.,Display group list
67108912,Import user group list contains user.,List contains user
67108913,Import user group list does not contain user.,List which does not contain user
67108914,Import user list which belongs to user group.,List which belongs to user group
67108915,Import user list which does not belong to user group.,List which does not belong to user group
67108916,Import user detail.,User detail
67108917,Import user group detail.,User group detail
67108918,Import function detail.,Function detail
67108919,Import function group detail.,Function group detail
67108920,Import display group detail.,Display group detail
67108921,Import function list which contains function.,List which contains function
67108922,Import function list which does not contain function.,Function group list which does not contain function
67108923,Import function list which belongs to function group.,List which belongs to function group
67108924,Import function list which does not belong to function group.,List which does not belong to function group
67108925,Import display group list which contains function.,Display group list which contains function
67108926,Import display group list which does not belong to function.,Display group list which does not belong to function
67108927,Import function list which belongs to display group.,List which belongs to display group
67108928,Import function list which does not belong to display group.,List which does not belong to display group
67108929,Disconnect display group and function.,Disconnect display group - function
67108930,Connect display group and function.,Connect display group - function
67108931,Import server category detail.,Server category detail
67108932,Create display group.,Create display group
67108933,Modify display group.,Modify display group
67108934,Import action log detail.,Action log detail
67108935,Import user group list for export.,Export - User group list
67108936,Import function group list for export.,Export - Function group list
67108937,Import display group list for export.,Export - Display list
67108938,Import function list to export.,Export - Function list
67108939,Connect user group and user.,Connect user group - user
67108940,Disconnect user group and user.,Disconnect user group - user
67108941,Connect execute function and function group.,Connect execute function - function group
67108942,Disconnect execute function and function group.,Disconnect execute function - function group
67108943,Connect function group and cast function.,Connect function group - cast function
67108944,Disconnect function group and cast function.,Disconnect function group - cast function
67108945,Connect cast function and function group.,Connect cast function - function group
67108946,Disconnect cast function and function group.,Disconnect cast function - function group
67108947,Connect function and display group.,Connect function - display group
67108948,Disconnect function and display group.,Disconnect function - display group
67108949,For import menu,Import
67108950,For export menu,Export
67108951,For language data import menu,Import language data
67108952,For language data export menu,Export language data
67108953,Import function detail for import.,Function detail for import
67108954,Import function group detail for import.,Function group detail for import
67108955,Import user group detail for import.,User group detail for import
67108956,Perform function import.,Perform function import
67108957,Perform function group import.,Perform function group import
67108958,Perform function - function group import.,Perform function - function group import
67108959,Perform user group import.,Perform user group import
67108960,Import display group information for export.,Export - import display group
67108961,Import display group and function list connection information for export.,"Export - import display group function connection information"
67108962,Import function and function group connection information.,Import function - function group connection information
67108963,Import display group detail.,Import display group
67108964,Import function - display group connection.,Import function - display group connection
67108965,Perform display group import.,Perform display group import
